weather,Location
Cloudy,"Edinburgh, UK"
Overcast,"Budapest, Hungary"
Overcast,"Frankfurt, Germany"
Sunny,"Krakow, Poland"
Moderate or heavy rain shower,"Vienna, Austria"
Overcast,"Lyon, France"
Cloudy,"Paris, France"
Sunny,"Stockholm, Sweden"
Sunny,"Oslo, Norway"
Overcast,"Zurich, Switzerland"
Sunny,"Gothenburg, Sweden"
Overcast,"Athens, Greece"
Overcast,"London, UK"
Overcast,"Venice, Italy"
Patchy rain possible,"Copenhagen, Denmark"
Patchy rain possible,"Rome, Italy"
Patchy rain possible,"Milan, Italy"
Patchy rain possible,"Amsterdam, Netherlands"
Sunny,"Warsaw, Poland"
Patchy rain possible,"Berlin, Germany"
Overcast,"Madrid, Spain"
Cloudy,"Lisbon, Portugal"
Sunny,"Helsinki, Finland"
Patchy rain possible,"Dublin, Ireland"
Overcast,"Porto, Portugal"
Overcast,"Geneva, Switzerland"
Patchy rain possible,"Rotterdam, Netherlands"
Moderate or heavy rain shower,"Florence, Italy"
Patchy rain possible,"Seville, Spain"
Overcast,"Hamburg, Germany"
Moderate or heavy rain shower,"Ljubljana, Slovenia"
Heavy rain at times,"Barcelona, Spain"
Patchy rain possible,"Prague, Czech Republic"
Overcast,"Munich, Germany"
Overcast,"Brussels, Belgium"
